"","First","Last","Nickname","Ht.","Wt.","Reach","Stance","W","L","D","Belt"
"1276","Keigo","Kunihara","","6' 0""","235 lbs.","--","Orthodox",3,2,0,NA
"1286","Kiichi","Kunimoto","Strasser","5' 10""","170 lbs.","71.0""","Orthodox",18,7,2,NA
"1296","Yana","Kunitskaya","","5' 6""","135 lbs.","68.0""","Orthodox",14,5,0,NA
"1306","Leo","Kuntz","The Lion","5' 10""","155 lbs.","--","Orthodox",18,4,1,NA
"13111","Korey","Kuppe","","6' 5""","170 lbs.","77.0""","Switch",8,4,0,NA
"1329","Ramazan","Kuramagomedov","","6' 1""","170 lbs.","73.0""","Orthodox",8,0,0,NA
"1336","Tsuyoshi","Kurihara","","5' 10""","185 lbs.","--","Orthodox",10,8,2,NA
"1346","Eldari","Kurtanidze","","5' 6""","235 lbs.","--","Orthodox",0,1,0,NA
"1356","Kyle","Kurtz","","--","170 lbs.","--","",7,5,0,NA
"1366","Guram","Kutateladze","Georgian Viking","5' 11""","155 lbs.","72.0""","Orthodox",12,2,0,NA
"1376","Lina","Kvokov","","5' 9""","135 lbs.","--","Orthodox",0,3,0,NA
"1386","Kaleo","Kwan","Leo Boy","5' 7""","155 lbs.","--","",11,16,0,NA
"1396","Jarrod","Kwitty","","5' 8""","185 lbs.","--","",2,2,0,NA
"1406","Mike","Kyle","MAK","6' 4""","205 lbs.","77.0""","Orthodox",22,14,1,NA
"2100","Achmed","Labasanov","","6' 3""","215 lbs.","--","Orthodox",7,4,0,NA
"350","Josh","LaBerge","","5' 10""","145 lbs.","--","",11,6,0,NA
"450","Jeremiah","Labiano","The Kid","5' 10""","135 lbs.","--","",11,5,0,NA
"540","Kemran","Lachinov","","--","170 lbs.","--","",3,2,0,NA
"640","Aspen","Ladd","","5' 6""","135 lbs.","66.0""","Orthodox",9,1,0,NA
"740","Ryan","LaFlare","","6' 1""","170 lbs.","74.0""","Southpaw",14,3,0,NA
"839","Ben","Lagman","Bad News","6' 2""","185 lbs.","--","",6,5,0,NA
"939","Noad","Lahat","Neo","5' 9""","145 lbs.","69.0""","Orthodox",11,2,0,NA
"1039","Tina","Lahdemaki","Jelly Bean","5' 2""","115 lbs.","--","Orthodox",5,1,0,NA
"1130","Tim","Lajcik","The Bohemian","6' 1""","225 lbs.","--","Orthodox",7,6,1,NA
"1230","Todd","Lally","","5' 7""","145 lbs.","--","Orthodox",2,1,0,NA
"1330","Sean","Lally","The Unpredictable One","6' 0""","170 lbs.","--","Orthodox",7,3,0,NA
"1429","Ricardo","Lamas","The Bully","5' 8""","145 lbs.","71.0""","Orthodox",20,8,0,NA
"1529","Jason","Lambert","The Punisher","6' 3""","185 lbs.","75.0""","Orthodox",26,13,0,NA
"1629","Jose","Landi-Jons","Pele","5' 11""","170 lbs.","--","Orthodox",29,16,0,NA
"1727","Nate","Landwehr","The Train","5' 9""","145 lbs.","72.0""","Orthodox",14,4,0,NA
"1826","Austen","Lane","","6' 6""","245 lbs.","--","Orthodox",2,1,0,NA
"1926","Aaron","Lanfranco","","--","155 lbs.","--","",5,1,0,NA
"2024","Jeremy","Lang","","5' 11""","205 lbs.","--","Southpaw",21,2,0,NA
"2122","Lionel","Lanham","","--","205 lbs.","--","",5,1,0,NA
"2222","Lina","Lansberg","Elbow Queen","5' 7""","135 lbs.","65.0""","Orthodox",10,5,0,NA
"2322","Taylor","Lapilus","Double Impact","5' 6""","135 lbs.","73.0""","Southpaw",11,2,0,NA
"2422","Chad","Laprise","The Disciple","5' 10""","170 lbs.","71.0""","Orthodox",13,4,0,NA
"2520","Anthony","Lapsley","The Recipe","5' 9""","170 lbs.","--","Southpaw",23,7,0,NA
"2615","TJ","Laramie","","5' 6""","145 lbs.","66.0""","Orthodox",12,4,0,NA
"2712","Icho","Larenas","","6' 3""","235 lbs.","--","Orthodox",6,5,0,NA
"2811","Lorenz","Larkin","The Monsoon","5' 11""","170 lbs.","72.0""","Orthodox",18,6,0,NA
"2911","Jeremy","Larsen","","5' 10""","145 lbs.","70.0""","Orthodox",8,5,0,NA
"3011","Brock","Larson","","5' 11""","170 lbs.","71.0""","Southpaw",42,10,0,NA
"3115","Ryan","Larson","","--","170 lbs.","--","",6,2,0,NA
"3213","Bobby","Lashley","","6' 3""","255 lbs.","78.0""","Orthodox",15,2,0,NA
"3311","Ilir","Latifi","The Sledgehammer","5' 10""","205 lbs.","73.0""","Orthodox",15,8,0,NA
"3411","Sione","Latu","","6' 0""","215 lbs.","--","",1,0,0,NA
"3511","Jenel","Lausa","","5' 5""","125 lbs.","68.0""","Orthodox",7,5,0,NA
"3611","Joe","Lauzon","","5' 10""","155 lbs.","71.0""","Orthodox",28,16,0,NA
"3711","Dan","Lauzon","The Upgrade","5' 10""","155 lbs.","--","Orthodox",17,6,0,NA
"3811","Chatt","Lavender","","5' 8""","170 lbs.","--","",9,7,0,NA
"3911","Muhammed","Lawal","King Mo","6' 0""","205 lbs.","78.0""","Southpaw",21,6,0,NA
"4011","Robbie","Lawler","Ruthless","5' 11""","170 lbs.","74.0""","Southpaw",28,15,0,NA
"4115","Tom","Lawlor","Filthy","6' 0""","205 lbs.","74.0""","Southpaw",10,6,0,NA
"4213","Justin","Lawrence","The American Kidd","5' 8""","145 lbs.","67.0""","Orthodox",10,4,0,NA
"4311","Lance","Lawrence","","6' 1""","145 lbs.","74.0""","Orthodox",4,1,0,NA
"4410","Ronnie","Lawrence","The Heat","5' 8""","135 lbs.","68.0""","Switch",7,1,0,NA
"4510","Eric","Lawson","","6' 0""","185 lbs.","--","Orthodox",9,5,0,NA
"4610","Valmir","Lazaro","Bidu","6' 0""","155 lbs.","73.0""","Orthodox",15,5,0,NA
"4710","Mounir","Lazzez","The Sniper","6' 1""","170 lbs.","76.0""","Orthodox",10,2,0,NA
"4810","Cung","Le","","5' 9""","185 lbs.","70.0""","Southpaw",9,3,0,NA
"4910","Thanh","Le","","5' 9""","145 lbs.","74.0""","Orthodox",6,1,0,NA
"5010","Jordan","Leavitt","The Monkey King","5' 9""","155 lbs.","71.0""","Southpaw",8,0,0,NA
"5114","Jerome","LeBanner","","6' 3""","265 lbs.","--","Southpaw",3,2,0,NA
"5212","Chris","Leben","The Crippler","5' 11""","185 lbs.","73.0""","Southpaw",22,11,0,NA
"5311","Mickael","Lebout","Ragnar","5' 11""","155 lbs.","73.0""","Orthodox",16,7,1,NA
"5410","Stephen","Ledbetter","","5' 9""","145 lbs.","--","Orthodox",8,3,0,NA
"5510","Justin","Ledet","El Blanco","6' 4""","205 lbs.","80.0""","Orthodox",9,4,0,NA
"5610","James","Lee","","5' 11""","205 lbs.","--","Southpaw",15,3,0,NA
"5710","David","Lee","","5' 10""","155 lbs.","--","Orthodox",12,10,0,NA
"5810","Jackie","Lee","","--","--","--","",0,1,0,NA
"5910","Eun Soo","Lee","","6' 1""","215 lbs.","--","Orthodox",17,4,0,NA
"6010","Tae Hyun","Lee","","6' 6""","295 lbs.","--","Orthodox",1,2,0,NA
"6114","Tommy","Lee","","5' 7""","145 lbs.","--","Orthodox",25,6,0,NA
"6212","Matt","Lee","","5' 11""","155 lbs.","--","Orthodox",14,10,1,NA
"6311","Imani","Lee","","--","--","--","Orthodox",2,4,0,NA
"6410","Vaughan","Lee","","5' 6""","125 lbs.","66.0""","Orthodox",14,13,1,NA
"6510","Kevin","Lee","The Motown Phenom","5' 9""","170 lbs.","77.0""","Orthodox",18,6,0,NA
"6610","Rocky","Lee","","5' 9""","145 lbs.","--","Orthodox",3,2,0,NA
"6710","Andrea","Lee","KGB","5' 6""","125 lbs.","69.0""","Orthodox",11,5,0,NA
"6810","Ricky","Legere Jr.","IE Bad Boy","5' 8""","170 lbs.","--","",14,4,0,NA
"6910","Sherron","Leggett","Rob Roy","5' 8""","155 lbs.","--","Southpaw",21,6,0,NA
"7010","Cheyden","Leialoha","Steadfast","5' 8""","135 lbs.","73.0""","Orthodox",6,0,0,NA
"7114","Thales","Leites","","6' 1""","185 lbs.","78.0""","Orthodox",28,9,0,NA
"7212","Stefan","Leko","Blitz","6' 2""","215 lbs.","--","Orthodox",0,3,0,NA
"7311","Gabe","Lemley","","5' 8""","155 lbs.","--","Orthodox",13,9,0,NA
"7410","Amanda","Lemos","","5' 4""","115 lbs.","65.0""","Southpaw",9,1,1,NA
"7510","Giacomo","Lemos","","6' 3""","247 lbs.","75.0""","Orthodox",6,0,0,NA
"7610","Christophe","Leninger","","6' 0""","200 lbs.","--","Southpaw",3,4,0,NA
"7710","Jesse","Lennox","The Ox","5' 9""","170 lbs.","72.0""","Orthodox",14,4,0,NA
"7810","Jean Francois","Lenogue","","6' 0""","185 lbs.","--","Orthodox",16,17,3,NA
"7910","Nik","Lentz","The Carny","5' 8""","145 lbs.","68.0""","Orthodox",30,12,2,NA
"8010","Alberta Cerra","Leon","","5' 8""","238 lbs.","--","",0,1,0,NA
"8114","Victoria","Leonardo","Fury","5' 5""","125 lbs.","64.0""","Orthodox",8,4,0,NA
"8212","Anthony","Leone","","5' 6""","135 lbs.","--","Orthodox",15,8,0,NA
"8310","Chad","Leonhardt","The Boss","6' 0""","170 lbs.","--","",9,4,0,NA
"849","Kimo","Leopoldo","","6' 3""","235 lbs.","--","Orthodox",10,7,1,NA
"859","Michael","Lerma","","--","--","--","",0,1,0,NA
"869","Lukasz","Les","","--","170 lbs.","--","",8,3,0,NA
"879","Brock","Lesnar","","6' 3""","265 lbs.","81.0""","Orthodox",5,3,0,NA
"889","Frank","Lester","","5' 11""","170 lbs.","--","Orthodox",11,6,0,NA
"899","Valerie","Letourneau","Trouble","5' 7""","115 lbs.","68.0""","Orthodox",8,6,0,NA
"909","Leah","Letson","Nidas","5' 7""","145 lbs.","71.0""","",5,2,0,NA
"9114","Justin","Levens","The Executioner","5' 11""","185 lbs.","--","Orthodox",10,7,0,NA
"9211","Marcus","LeVesseur","The Prospect","5' 9""","155 lbs.","70.0""","Southpaw",22,7,0,NA
"9310","David","Levicki","","6' 5""","275 lbs.","--","",1,3,0,NA
"949","Kyle","Levinton","","--","--","--","",0,3,0,NA
"959","Natan","Levy","","5' 9""","155 lbs.","71.0""","Southpaw",6,0,0,NA
"969","John","Lewis","","6' 0""","155 lbs.","--","Southpaw",3,4,3,NA
"979","Derrick","Lewis","The Black Beast","6' 3""","260 lbs.","79.0""","Orthodox",25,7,0,NA
"989","Bevon","Lewis","","6' 3""","185 lbs.","79.0""","Orthodox",7,3,0,NA
"999","Chi","Lewis-Parry","Chopper","6' 9""","243 lbs.","--","",7,0,1,NA
"1009","Li","Jingliang","The Leech","6' 0""","170 lbs.","71.0""","Orthodox",18,6,0,NA
"10114","Jess","Liaudin","The Joker","5' 9""","170 lbs.","72.0""","Orthodox",20,11,0,NA
"10211","Chuck","Liddell","The Iceman","6' 2""","205 lbs.","76.0""","Orthodox",21,8,0,NA
"10310","Sam","Liera","","--","--","--","",12,10,0,NA
"1049","Zach","Light","","5' 8""","170 lbs.","--","Orthodox",9,11,0,NA
"1059","Scott","Lighty","","6' 2""","205 lbs.","--","",6,2,0,NA
"1069","Chris","Liguori","","5' 9""","185 lbs.","--","Orthodox",15,10,0,NA
"1079","Donnie","Liles","","5' 9""","170 lbs.","--","Orthodox",17,7,0,NA
"1089","Jae Suk","Lim","","5' 9""","170 lbs.","--","Orthodox",17,6,0,NA
"1099","Hyun Gyu","Lim","The Ace","6' 3""","170 lbs.","77.0""","Orthodox",13,7,1,NA
"1108","Juliana","Lima","Ju Thai","5' 5""","115 lbs.","65.0""","Orthodox",9,5,0,NA
"11113","Dhiego","Lima","","6' 2""","170 lbs.","75.0""","Orthodox",17,8,0,NA
"11211","Douglas","Lima","The Phenom","6' 1""","170 lbs.","--","",29,6,0,NA
"1138","Mabelly","Lima","","5' 2""","135 lbs.","--","Orthodox",7,1,0,NA
"1148","Miguel","Linares","","--","--","--","",2,4,0,NA
"1158","Matt","Lindland","The Law","6' 0""","185 lbs.","74.0""","Southpaw",22,9,0,NA
"1168","Jake","Lindsey","The Librarian","5' 11""","155 lbs.","--","Switch",12,7,0,NA
"1177","John","Lineker","Hands of Stone","5' 3""","135 lbs.","67.0""","Orthodox",31,9,0,NA
"1187","Austin","Lingo","Lights Out","5' 10""","145 lbs.","70.0""","Orthodox",8,1,0,NA
"1197","Lucio","Linhares","","6' 2""","185 lbs.","--","Orthodox",19,8,0,NA
"1207","Philipe","Lins","Monstro","6' 2""","240 lbs.","78.0""","Orthodox",14,5,0,NA
"12112","Ariane","Lipski","Queen of Violence","5' 6""","125 lbs.","67.0""","Orthodox",13,6,0,NA
"12210","Dean","Lister","The Boogeyman","6' 1""","185 lbs.","75.0""","Orthodox",13,7,0,NA
"1237","Wesley","Little","","6' 4""","205 lbs.","--","",4,8,0,NA
"1247","Abner","Lloveras","Skullman","5' 11""","155 lbs.","--","",20,9,1,NA
"1257","Brian","Lo-A-Njoe","","5' 7""","155 lbs.","--","Orthodox",6,10,3,NA
"1267","John","Lober","The Machine","5' 11""","199 lbs.","--","Orthodox",5,9,4,NA
"1277","Artem","Lobov","The Russian Hammer","5' 9""","145 lbs.","65.0""","Southpaw",13,15,1,NA
"1287","Dylan","Lockard","","5' 9""","145 lbs.","72.0""","Orthodox",6,2,0,NA
"1297","Sean","Loeffler","The Destroyer","6' 3""","185 lbs.","--","Orthodox",31,5,0,NA
"1307","Christian","Lohsen","Hollywood","6' 2""","155 lbs.","77.0""","Southpaw",4,2,0,NA
"13112","David","Loiseau","The Crow","6' 0""","185 lbs.","76.0""","Orthodox",23,11,0,NA
"13210","Hector","Lombard","","5' 9""","185 lbs.","71.0""","Southpaw",34,10,1,NA
"1337","Michael","Lombardo","The Don","6' 0""","170 lbs.","72.0""","Orthodox",11,2,0,NA
"1347","Rocky","Long","","--","145 lbs.","--","",21,37,1,NA
"1357","Thomas","Longacre","","5' 9""","145 lbs.","--","Orthodox",6,1,0,NA
"1367","Loma","Lookboonmee","","5' 1""","115 lbs.","61.0""","Orthodox",5,2,0,NA
"1377","Lucas","Lopes","","6' 2""","185 lbs.","--","",29,19,0,NA
"1387","Dileno","Lopes","","5' 5""","135 lbs.","--","",19,3,0,NA
"1397","Ivan","Lopez","","5' 6""","135 lbs.","--","Southpaw",14,3,1,NA
"1407","Steve","Lopez","","5' 11""","155 lbs.","--","Orthodox",13,6,1,NA
"14111","Federico","Lopez","Kiko","5' 4""","139 lbs.","--","Orthodox",10,6,0,NA
"14210","Jorge","Lopez","","5' 10""","170 lbs.","--","Orthodox",11,5,0,NA
"1436","Christopher","Lopez","","5' 10""","170 lbs.","--","",9,1,0,NA
"1446","Matthew","Lopez","","5' 7""","135 lbs.","69.0""","Southpaw",10,4,0,NA
"1456","Benito","Lopez","Golden Boy","5' 10""","135 lbs.","73.0""","Switch",10,1,0,NA
"1466","Gustavo","Lopez","","5' 5""","135 lbs.","67.0""","Orthodox",12,5,0,NA
"1476","Brendan","Loughnane","","5' 10""","145 lbs.","70.0""","Switch",17,3,0,NA
"1486","Nate","Loughran","","6' 2""","185 lbs.","--","Orthodox",11,2,0,NA
"1496","Rashard","Lovelace","","--","155 lbs.","--","",4,1,0,NA
"1506","Ian","Loveland","The Barn Owl","5' 8""","145 lbs.","--","Orthodox",18,10,0,NA
"15111","Jakob","Lovstad","The Striking Viking","6' 3""","205 lbs.","--","Orthodox",11,4,0,NA
"15210","Waylon","Lowe","","5' 7""","145 lbs.","--","Southpaw",16,7,0,NA
"1536","Brandon","Lowe","","--","155 lbs.","--","",2,1,0,NA
"1546","Joe","Lowry","","5' 11""","155 lbs.","73.0""","Orthodox",9,2,0,NA
"1556","Robert","Lucarelli","","6' 2""","245 lbs.","--","",0,1,0,NA
"1566","Matt","Lucas","Luke Duke","6' 1""","205 lbs.","--","",15,3,0,NA
"1576","Cleber","Luciano","","5' 6""","155 lbs.","--","",14,6,0,NA
"1586","Duane","Ludwig","Bang","5' 10""","170 lbs.","70.0""","Orthodox",21,14,0,NA
"1596","Mike","Lullo","","5' 8""","145 lbs.","--","Orthodox",8,3,0,NA
"1606","Dalcha","Lungiambula","Champion","5' 8""","185 lbs.","76.0""","Orthodox",11,2,0,NA
"16111","Alexandru","Lungu","","6' 0""","385 lbs.","--","Orthodox",14,4,0,NA
"16210","Vicente","Luque","The Silent Assassin","5' 11""","170 lbs.","75.0""","Orthodox",19,7,1,NA
"1636","Thaddeus","Luster","","6' 3""","210 lbs.","--","",0,1,0,NA
"1646","Travis","Lutter","The Serial Killer","5' 11""","185 lbs.","75.0""","Orthodox",10,6,0,NA
"1656","Tucker","Lutz","Top Gun","5' 8""","155 lbs.","72.0""","Orthodox",11,1,0,NA
"1666","Lv","Zhenhong","","5' 8""","145 lbs.","67.0""","Switch",16,6,0,NA
"1676","Stevie","Lynch","","5' 10""","170 lbs.","--","Orthodox",5,2,0,NA
"1686","Adam","Lynn","","5' 10""","155 lbs.","--","Orthodox",17,10,0,NA
"1695","Chris","Lytle","Lights Out","5' 11""","170 lbs.","68.0""","Orthodox",31,18,5,NA
"2102","Dong Hyun","Ma","Maestro","5' 11""","155 lbs.","70.0""","Orthodox",16,11,3,NA
"370","William","Macario","Patolino","5' 11""","170 lbs.","75.0""","Orthodox",9,3,0,NA
"460","Jason","MacDonald","The Athlete","6' 3""","185 lbs.","80.0""","Orthodox",25,16,0,NA
"550","Rob","MacDonald","Maximus","6' 3""","205 lbs.","78.0""","Orthodox",5,4,0,NA
"650","Rory","MacDonald","Red King","6' 0""","170 lbs.","76.0""","Orthodox",19,4,0,NA
"750","Ryan","MacDonald","Main Event","5' 11""","135 lbs.","71.0""","Switch",10,2,0,NA
"840","Veronica","Macedo","","5' 4""","125 lbs.","64.0""","Southpaw",6,4,1,NA
"940","Clayton","MacFarlane","","--","170 lbs.","--","",4,1,0,NA
"1040","Ilima","Macfarlane","","5' 4""","125 lbs.","--","",6,0,0,NA
"1139","Lyoto","Machida","The Dragon","6' 1""","185 lbs.","74.0""","Southpaw",24,8,0,NA
"1238","War","Machine","","5' 11""","170 lbs.","--","Orthodox",14,5,0,NA
"1338","Anthony","Macias","Mad Dog","5' 9""","185 lbs.","--","Switch",26,18,0,NA
"1430","Pauline","Macias","PITA","5' 4""","115 lbs.","64.0""","Southpaw",4,1,0,NA
"1530","Reza","Madadi","Mad Dog","5' 11""","155 lbs.","73.0""","Orthodox",14,6,0,NA
"1630","Don","Madge","Magic Man","6' 0""","155 lbs.","72.0""","Southpaw",9,3,1,NA
"1728","Ryan","Madigan","","6' 0""","170 lbs.","--","Orthodox",5,3,0,NA
"1827","Jon","Madsen","","6' 0""","240 lbs.","72.0""","Orthodox",8,2,0,NA
"1927","Mark","Madsen","The Olympian","5' 8""","155 lbs.","72.0""","Orthodox",10,0,0,NA
"2025","Yoshiro","Maeda","","5' 7""","139 lbs.","68.0""","Southpaw",35,16,5,NA
"2123","Leonardo","Mafra","Macarrao","5' 10""","155 lbs.","70.0""","Orthodox",13,4,0,NA
"2223","Vinny","Magalhaes","Pezao","6' 3""","205 lbs.","75.0""","Orthodox",14,9,0,NA
"2323","Vinicius","Magalhaes","Draculinho","--","145 lbs.","--","",2,1,0,NA
"2423","Caio","Magalhaes","Hellboy","6' 1""","185 lbs.","73.0""","Orthodox",10,3,0,NA
"2521","Bernardo","Magalhaes","Trekko","5' 9""","155 lbs.","--","Orthodox",13,4,0,NA
"2616","Eric","Magana","","--","--","--","",1,1,0,NA
"2713","Brandon","Magana","","--","170 lbs.","--","Orthodox",6,2,0,NA
"2812","Angela","Magana","Your Majesty","5' 1""","115 lbs.","65.0""","Orthodox",11,9,0,NA
"2912","Neil","Magny","The Haitian Sensation","6' 3""","170 lbs.","80.0""","Orthodox",24,9,0,NA
"3012","Ibragim","Magomedov","","6' 0""","250 lbs.","--","Orthodox",22,8,1,NA
"3116","Rashid","Magomedov","Highlander","5' 9""","155 lbs.","70.0""","Orthodox",20,2,0,NA
"3214","Ruslan","Magomedov","Leopard","6' 3""","242 lbs.","78.0""","Orthodox",14,1,0,NA
"3312","Zabit","Magomedsharipov","","6' 1""","145 lbs.","73.0""","Orthodox",18,1,0,NA
"3412","John","Maguire","The One","5' 9""","155 lbs.","69.0""","Southpaw",24,9,0,NA
"3512","Lolohea","Mahe","","--","--","--","",10,4,1,NA
"3612","Michelle","Maher","","--","145 lbs.","--","",1,2,0,NA
"3712","Bill","Mahood","The Butcher","6' 3""","200 lbs.","--","Orthodox",20,7,1,NA
"3812","Klayton","Mai","","5' 9""","125 lbs.","--","",8,3,0,NA
"3912","Demian","Maia","","6' 1""","170 lbs.","72.0""","Southpaw",28,10,0,NA
"4012","Jennifer","Maia","","5' 4""","125 lbs.","64.0""","Orthodox",18,6,1,NA
"4116","Levan","Makashvili","The Hornet","5' 8""","145 lbs.","68.0""","Orthodox",15,2,1,NA
"4214","John","Makdessi","The Bull","5' 8""","155 lbs.","68.0""","Orthodox",17,7,0,NA
"4312","Islam","Makhachev","","5' 10""","155 lbs.","70.0""","Southpaw",19,1,0,NA
"4411","Aliev","Makhmud","","5' 6""","195 lbs.","--","Southpaw",0,1,0,NA
"4511","Zach","Makovsky","Fun Size","5' 4""","125 lbs.","64.0""","Southpaw",20,8,0,NA
"4611","Jeremy","Malaterre","","5' 11""","155 lbs.","--","",4,2,0,NA
"4711","Fabio","Maldonado","Caipira de Aco","6' 1""","205 lbs.","75.0""","Orthodox",23,11,0,NA
"4811","Marvin","Maldonado","The Bulldog","5' 6""","135 lbs.","--","",2,4,0,NA
"4911","Bea","Malecki","","5' 9""","135 lbs.","74.0""","Orthodox",4,0,0,NA
"5011","Nazareno","Malegarie","El Tigre","5' 8""","155 lbs.","--","",28,4,0,NA
"5115","Carl","Malenko","","5' 11""","200 lbs.","--","Orthodox",6,4,0,NA
"5213","Jacob","Malkoun","Mamba","5' 9""","185 lbs.","73.0""","Orthodox",4,1,0,NA
"5312","Mike","Malott","The Main Attraction","6' 0""","145 lbs.","--","",5,1,1,NA
"5411","Troy","Mandaloniz","Rude Boy","5' 9""","170 lbs.","--","Orthodox",3,2,0,NA
"5511","Nate","Maness","Mayhem","5' 10""","135 lbs.","72.0""","Orthodox",13,1,0,NA
"5611","Michael","Mangan","","--","155 lbs.","--","",0,3,0,NA
"5711","Gary","Mangat","","5' 7""","135 lbs.","--","",15,3,0,NA
"5811","Melvin","Manhoef","No Mercy","5' 9""","185 lbs.","--","Orthodox",30,14,1,NA
"5911","Melchor","Manibusan","Barracuda","5' 5""","154 lbs.","--","Southpaw",2,4,0,NA
"6011","Jon","Manley","","6' 1""","170 lbs.","--","Orthodox",9,4,0,NA
"6115","Steve","Mann","","6' 1""","170 lbs.","--","",12,5,0,NA
"6213","Chris","Manuel","","5' 9""","135 lbs.","--","Orthodox",9,7,2,NA
"6312","Jimi","Manuwa","Poster Boy","6' 1""","205 lbs.","79.0""","Orthodox",17,6,0,NA
"6411","Cristiano","Marcello","","5' 9""","155 lbs.","72.0""","Orthodox",13,6,0,NA
"6511","Jose","Maria","No Chance","5' 5""","125 lbs.","--","Orthodox",37,7,0,NA
"6611","Marcos","Mariano","Dhalsim","6' 1""","155 lbs.","76.0""","Switch",6,6,0,NA
"6711","Enrique","Marin","Wasabi","5' 10""","170 lbs.","--","",10,4,0,NA
"6811","Ronny","Markes","","6' 1""","185 lbs.","75.0""","Orthodox",17,5,0,NA
"6911","Rory","Markham","","6' 0""","170 lbs.","71.0""","Orthodox",17,6,0,NA
"7011","Randa","Markos","Quiet Storm","5' 4""","115 lbs.","63.0""","Orthodox",10,11,1,NA
"7115","Christina","Marks","","5' 7""","125 lbs.","69.0""","Orthodox",8,9,0,NA
"7213","Nate","Marquardt","The Great","6' 0""","185 lbs.","74.0""","Orthodox",35,19,2,NA
"7312","Danilo","Marques","","6' 6""","205 lbs.","77.0""","Orthodox",11,2,0,NA
"7411","Julian","Marquez","The Cuban Missile Crisis","6' 2""","185 lbs.","72.0""","Orthodox",8,2,0,NA
"7511","Carmelo","Marrero","The Fury","6' 0""","205 lbs.","73.0""","Orthodox",16,6,0,NA
"7611","Cesar","Marscucci","","--","--","--","",3,2,0,NA
"7711","John","Marsh","","6' 0""","265 lbs.","--","Orthodox",8,7,0,NA
"7811","CJ","Marsh","","--","--","--","",5,7,0,NA
"7911","Eliot","Marshall","Fire","6' 2""","205 lbs.","77.0""","Orthodox",10,4,0,NA
"8011","Doug","Marshall","The Rhino","5' 10""","205 lbs.","--","Orthodox",18,8,0,NA
"8115","David","Marshall","","6' 2""","170 lbs.","--","",8,4,0,NA
"8213","Jack","Marshman","The Hammer","6' 0""","185 lbs.","73.0""","Orthodox",23,10,0,NA
"8311","Terry","Martin","","5' 8""","185 lbs.","71.0""","Orthodox",23,11,0,NA
"8410","Eric","Martin","","--","--","--","",0,1,0,NA
"8510","Justin","Martin","","6' 0""","185 lbs.","--","",4,3,0,NA
"8610","Dave","Martin","","6' 0""","205 lbs.","--","",0,2,0,NA
"8710","Joe","Martin","","5' 9""","170 lbs.","--","",6,8,0,NA
"8810","Anthony Rocco","Martin","","6' 0""","170 lbs.","73.0""","Orthodox",17,6,0,NA
"8910","Mallory","Martin","","5' 4""","115 lbs.","63.0""","Orthodox",7,4,0,NA
"9010","Michal","Martinek","","6' 2""","230 lbs.","--","Southpaw",7,1,0,NA
"9115","Rainy","Martinez","","6' 0""","199 lbs.","--","Orthodox",0,2,0,NA
"9212","Danny","Martinez","The Gremlin","5' 6""","125 lbs.","67.0""","Orthodox",21,8,0,NA
"9311","Alonzo","Martinez","Zo Diddy","5' 10""","155 lbs.","--","",42,20,1,NA
"9410","Henry","Martinez","Sicario","5' 7""","155 lbs.","69.0""","Southpaw",9,4,0,NA
"9510","Jonathan","Martinez","Dragon","5' 8""","145 lbs.","70.0""","Southpaw",13,3,0,NA
"9610","Poppies","Martinez","The Tachi Kid","5' 9""","145 lbs.","--","",29,11,0,NA
"9710","Andrew","Martinez","Mickey D","5' 9""","215 lbs.","--","",9,6,0,NA
"9810","Mana","Martinez","ManaBoi","5' 10""","135 lbs.","70.0""","Orthodox",6,2,0,NA
"9910","Victor","Martinez","The Brick","5' 10""","155 lbs.","--","",12,4,0,NA
"10010","Roque","Martinez","","5' 10""","250 lbs.","72.0""","Orthodox",15,7,2,NA
"10115","Wagner da Conceicao","Martins","Zuluzinho","6' 7""","390 lbs.","--","Orthodox",9,8,0,NA
"10212","Adriano","Martins","","5' 10""","155 lbs.","72.0""","Southpaw",28,9,0,NA
"10311","Lucas","Martins","Mineiro","6' 0""","145 lbs.","72.0""","Southpaw",19,3,0,NA
"10410","Max","Martyniouk","Payne","--","155 lbs.","--","",1,1,0,NA
"10510","Bristol","Marunde","","6' 1""","170 lbs.","75.0""","Orthodox",16,10,0,NA
"10610","Shoji","Maruyama","","5' 7""","139 lbs.","--","Orthodox",12,9,1,NA
"10710","Mike","Massenzio","The Master of Disaster","6' 2""","185 lbs.","73.0""","Southpaw",13,9,0,NA
"10810","Jameel","Massouh","","5' 10""","145 lbs.","72.0""","Orthodox",26,9,0,NA
"10910","Tiffany","Masters","Rainbow Renegade","5' 3""","115 lbs.","65.0""","Orthodox",2,1,0,NA
"1109","Jorge","Masvidal","Gamebred","5' 11""","170 lbs.","74.0""","Orthodox",35,14,0,NA
"11114","Al","Matavao","Sweetness","5' 8""","205 lbs.","67.0""","Orthodox",8,3,0,NA
"11212","Tateki","Matsuda","Tech","5' 7""","125 lbs.","--","Orthodox",13,8,0,NA
"11310","Daijiro","Matsui","","5' 9""","200 lbs.","--","Orthodox",13,29,7,NA
"1149","Koichiro","Matsumoto","","5' 7""","145 lbs.","--","",15,3,1,NA
"1159","Naoki","Matsushita","","5' 6""","155 lbs.","--","Orthodox",12,16,11,NA
"1169","AJ","Matthews","","5' 11""","185 lbs.","--","",8,7,0,NA
